"","imdb_title_id","title","year","genre","duration","country","language","director","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"25758","tt0101393","Fuoco assassino",1991,"Action, Crime, Drama",137,"USA","English","Ron Howard",6.7,70047,40000000,77868585,152368585,38,161,74
"25804","tt0101507","Boyz n the Hood - Strade violente",1991,"Crime, Drama",112,"USA","English","John Singleton",7.8,121709,6500000,57504069,57529070,76,236,88
"25807","tt0101516","Bugsy",1991,"Biography, Crime, Drama",136,"USA","English","Barry Levinson",6.8,25628,30000000,49114016,49114016,80,77,57
"25820","tt0101540","Cape Fear - Il promontorio della paura",1991,"Crime, Thriller",128,"USA","English","Martin Scorsese",7.3,168724,35000000,79091969,182291969,73,329,132
"25830","tt0101587","Scappo dalla città - La vita, l'amore e le vacche",1991,"Comedy, Western",113,"USA","English","Ron Underwood",6.8,47309,27000000,124033791,179033791,70,96,54
"25865","tt0101669","L'altro delitto",1991,"Crime, Drama, Mystery",107,"USA","English","Kenneth Branagh",6.9,25462,15000000,38016380,38016380,66,125,69
"25900","tt0101764","Double Impact - La vendetta finale",1991,"Action, Crime",110,"USA","English","Sheldon Lettich",5.6,37262,15000000,30102717,30102717,40,95,69
"25921","tt0101846","F/X 2 - Replay di un omicidio",1991,"Action, Thriller",108,"USA","English","Richard Franklin",5.9,8634,16400000,21082165,21082165,48,27,28
"25933","tt0101889","La leggenda del re pescatore",1991,"Comedy, Drama, Fantasy",137,"USA","English","Terry Gilliam",7.5,77764,24000000,41895491,41895491,61,199,96
"25937","tt0101912","Paura d'amare",1991,"Comedy, Drama, Romance",118,"USA","English","Garry Marshall",6.8,28372,29000000,22773535,22773535,66,86,29
"25938","tt0101917","Nightmare 6 - La fine",1991,"Fantasy, Horror",89,"USA","English","Rachel Talalay",4.9,40496,11000000,34872033,34872033,39,287,93
"25940","tt0101921","Pomodori verdi fritti alla fermata del treno",1991,"Drama",130,"USA","English","Jon Avnet",7.7,65481,11000000,82418501,119418501,64,200,52
"25981","tt0102057","Hook - Capitan Uncino",1991,"Adventure, Comedy, Family",142,"USA","English","Steven Spielberg",6.8,229358,70000000,119654823,300854823,52,415,94
"25983","tt0102059","Hot Shots!",1991,"Action, Comedy",84,"USA","English","Jim Abrahams",6.8,97436,26000000,69467617,181096164,61,108,48
"26013","tt0102175","Jungle Fever",1991,"Drama, Romance",132,"USA","English","Spike Lee",6.5,16709,14000000,32482682,43882682,78,60,44
"26043","tt0102266","L'ultimo boy scout - Missione: sopravvivere",1991,"Action, Comedy, Crime",105,"USA","English","Tony Scott",7,91229,29000000,59509925,59509925,52,173,69
"26058","tt0102307","Lo spacciatore",1992,"Crime, Drama",103,"USA","English","Paul Schrader",6.9,5710,5000000,1050861,1055987,70,46,23
"26114","tt0102492","Papà, ho trovato un amico",1991,"Comedy, Drama, Family",102,"USA","English","Howard Zieff",6.9,70563,17000000,59489799,59489799,56,139,40
"26125","tt0102517","Campioni di guai",1991,"Comedy, Sport",108,"USA","English","Stan Dragoti",6.2,10103,13500000,26255594,26255594,45,41,14
"26129","tt0102526","New Jack City",1991,"Action, Crime, Drama",97,"USA","English","Mario Van Peebles",6.7,30780,8000000,47624353,47624353,61,89,37
"26136","tt0102558","Nient'altro che guai",1991,"Comedy",94,"USA","English","Dan Aykroyd",5.2,22227,40000000,8479793,8479793,13,257,29
"26176","tt0102687","Poison",1991,"Drama, Horror, Romance",85,"USA","English","Todd Haynes",6.5,3868,250000,787280,787280,67,27,36
"26187","tt0102713","Il principe delle maree",1991,"Drama, Romance",132,"USA","English","Barbra Streisand",6.7,15808,30000000,74787599,74787599,65,118,41
"26204","tt0102768","A proposito di Henry",1991,"Drama, Romance",108,"USA","English","Mike Nichols",6.7,28936,25000000,43001500,43001500,47,124,30
"26207","tt0102782","Ritorno alla laguna blu",1991,"Adventure, Drama, Romance",102,"USA","English","William A. Graham",5.2,17820,11000000,2807854,2807854,28,46,14
"26264","tt0102945","A letto con il nemico",1991,"Drama, Thriller",99,"USA","English","Joseph Ruben",6.3,48811,19000000,101599005,174999005,48,128,51
"26266","tt0102951","Bolle di sapone",1991,"Comedy, Romance",97,"USA","English","Michael Hoffman",6.6,14227,25000000,36489888,36489888,65,75,28
"26343","tt0103241","Tutte le manie di Bob",1991,"Comedy",99,"USA","English","Frank Oz",7,61318,35000000,63707829,63707829,60,198,45
"26346","tt0103247","Zanna Bianca - Un piccolo grande lupo",1991,"Adventure, Drama",107,"USA","English","Randal Kleiser",6.7,19198,14000000,34793160,34793160,62,37,13
"26376","tt0103596","3 ragazzi ninja",1992,"Action, Comedy, Family",84,"USA","English","Jon Turteltaub",5.3,19822,6500000,29000301,29000301,36,66,12
"26384","tt0103639","Aladdin",1992,"Animation, Adventure, Comedy",90,"USA","English","Ron Clements, John Musker",8,363761,28000000,217350219,504050219,86,333,155
"26386","tt0103644","Alien³",1992,"Action, Horror, Sci-Fi",114,"USA","English","David Fincher",6.5,271736,50000000,55473545,159814498,59,909,263
"26391","tt0103671","American Me - Rabbia di vivere",1992,"Biography, Crime, Drama",125,"USA","English","Edward James Olmos",7.2,7803,16000000,13086430,13086430,66,55,16
"26446","tt0103855","Guardia del corpo",1992,"Action, Drama, Music",129,"USA","English","Mick Jackson",6.3,116573,25000000,122006740,411006740,39,162,60
"26456","tt0103893","Buffy - L'ammazzavampiri",1992,"Action, Comedy, Fantasy",86,"USA","English","Fran Rubel Kuzui",5.7,38966,7000000,16624456,16624456,48,251,77
"26466","tt0103924","Finché dura siamo a galla",1992,"Adventure, Comedy",90,"USA","English","Thom Eberhardt",5.8,20023,24000000,22518097,22518097,39,90,13
"26499","tt0104009","Fuga dal mondo dei sogni",1992,"Animation, Comedy, Fantasy",102,"USA","English","Ralph Bakshi",4.9,20371,30000000,14110589,14110589,28,102,50
"26518","tt0104070","La morte ti fa bella",1992,"Comedy, Fantasy, Horror",104,"USA","English","Robert Zemeckis",6.6,100720,55000000,58422650,149022650,56,217,85
"26534","tt0104114","Il distinto gentiluomo",1992,"Comedy, Crime",112,"USA","English","Jonathan Lynn",5.9,14962,50000000,46666502,46666502,45,46,16
"26550","tt0104187","Il mio amico scongelato",1992,"Comedy",88,"USA","English","Les Mayfield",5.8,36720,7000000,40693477,40693477,25,76,31
"26558","tt0104231","Cuori ribelli",1992,"Adventure, Drama, Romance",140,"USA","English","Ron Howard",6.6,57850,60000000,58883840,137783840,49,145,37
"26585","tt0104348","Americani",1992,"Crime, Drama, Mystery",100,"USA","English","James Foley",7.7,93872,12500000,10725228,10725228,82,401,124
"26596","tt0104377","Guncrazy",1992,"Crime, Drama, Romance",97,"USA","English","Tamra Davis",5.5,2118,800000,114516,114516,69,24,16
"26599","tt0104389","La mano sulla culla",1992,"Drama, Thriller",110,"USA","English","Curtis Hanson",6.6,37217,11700000,88036683,88036683,64,132,46
"26614","tt0104437","Tesoro, mi si è allargato il ragazzino",1992,"Adventure, Comedy, Family",89,"USA","English","Randal Kleiser",4.9,40421,40000000,58662452,58662452,50,57,18
"26700","tt0104694","Ragazze vincenti",1992,"Comedy, Drama, Family",128,"USA","English","Penny Marshall",7.3,91488,40000000,107533928,132440069,67,223,64
"26706","tt0104714","Arma letale 3",1992,"Action, Crime, Thriller",118,"USA","English","Richard Donner",6.7,154580,35000000,144731527,321731527,40,157,87
"26713","tt0104745","The Living End",1992,"Comedy, Drama",81,"USA","English","Gregg Araki",6.5,2650,22769,692585,692585,65,18,16
"26755","tt0104868","Stoffa da campioni",1992,"Comedy, Drama, Family",104,"USA","English","Stephen Herek",6.5,57227,10000000,50752337,50752337,46,60,32
"26774","tt0104952","Mio cugino Vincenzo",1992,"Comedy, Crime",120,"USA","English","Jonathan Lynn",7.6,104026,11000000,52929168,64088552,68,258,53
"26787","tt0104990","Gli strilloni",1992,"Drama, Family, History",121,"USA","English","Kenny Ortega",7,18513,15000000,2819485,2819485,46,303,33
"26790","tt0105001","La notte e la città",1992,"Comedy, Crime, Drama",105,"USA","English","Irwin Winkler",5.8,4454,20000000,6202756,6202756,61,37,17
"26817","tt0105112","Giochi di potere",1992,"Action, Thriller",117,"USA","English","Phillip Noyce",6.9,100936,45000000,83351587,178051587,64,154,62
"26820","tt0105121","La casa nera",1991,"Comedy, Horror, Mystery",102,"USA","English","Wes Craven",6.4,30481,6000000,24204154,31347154,57,166,150
"26822","tt0105128","Cimitero vivente 2",1992,"Fantasy, Horror",100,"USA","English","Mary Lambert",4.9,18953,8000000,17092453,17092453,35,130,51
"26828","tt0105151","I protagonisti",1992,"Comedy, Crime, Drama",124,"USA","English","Robert Altman",7.5,53449,8000000,21706101,21706101,86,197,89
"26829","tt0105156","La mia peggiore amica",1992,"Drama, Thriller",90,"USA","English","Katt Shea",5.4,16928,3000000,1829804,1829804,51,60,34
"26857","tt0105226","Red Rock West",1993,"Crime, Drama, Thriller",98,"USA","English","John Dahl",7,19796,8000000,2502551,2502551,79,92,56
"26860","tt0105236","Le iene",1992,"Crime, Drama, Thriller",99,"USA","English","Quentin Tarantino",8.3,896551,1200000,2832029,2889963,79,1163,205
"26867","tt0105265","In mezzo scorre il fiume",1992,"Drama",123,"USA","English","Robert Redford",7.2,52491,12000000,43440294,43440294,68,165,55
"26883","tt0105323","Scent of a Woman - Profumo di donna",1992,"Drama",156,"USA","English","Martin Brest",8,253857,31000000,63095253,134095253,59,414,62
"26910","tt0105414","Inserzione pericolosa",1992,"Drama, Thriller",107,"USA","English","Barbet Schroeder",6.4,31532,16000000,48017402,48017402,63,108,70
"26912","tt0105417","Sister Act: Una svitata in abito da suora",1992,"Comedy, Crime, Family",100,"USA","English","Emile Ardolino",6.4,85553,31000000,139605150,231605150,51,136,32
"26914","tt0105428","I sonnambuli",1992,"Fantasy, Horror",91,"USA","English","Mick Garris",5.3,19824,15000000,30524763,30524763,38,136,85
"26920","tt0105450","South Central - Zona a rischio",1992,"Crime, Drama",98,"USA","English","Stephen Milburn Anderson",6.8,4943,4000000,1373196,1373196,64,18,9
"26968","tt0105629","Toys - Giocattoli",1992,"Adventure, Comedy, Drama",118,"USA","English","Barry Levinson",5.1,30054,43000000,23278931,23278931,40,161,30
"26992","tt0105695","Gli spietati",1992,"Drama, Western",130,"USA","English","Clint Eastwood",8.2,367365,14400000,101157447,159157447,85,593,128
"26993","tt0105698","I nuovi eroi",1992,"Action, Sci-Fi",102,"USA","English","Roland Emmerich",6,81356,23000000,36299898,36299898,35,157,105
"27064","tt0106220","La famiglia Addams 2",1993,"Comedy, Fantasy",94,"USA","English","Barry Sonnenfeld",6.7,77026,47000000,48919043,48919043,62,144,64
"27094","tt0106308","L'armata delle tenebre",1992,"Comedy, Fantasy, Horror",81,"USA","English","Sam Raimi",7.5,159845,11000000,11502976,11502976,59,658,250
"27129","tt0106400","A Beverly Hills... signori si diventa",1993,"Comedy, Family",92,"USA","English","Penelope Spheeris",5,17093,25000000,44029386,57405220,37,73,21
"27144","tt0106452","Ultracorpi - L'invasione continua",1993,"Horror, Sci-Fi",87,"USA","English","Abel Ferrara",6,16367,13000000,428868,428868,65,93,73
"27157","tt0106500","CB4",1993,"Comedy, Music",89,"USA","English","Tamra Davis",6.3,8629,6000000,17953778,17953778,49,24,22
"27185","tt0106598","Teste di cono",1993,"Comedy, Sci-Fi",88,"USA","English","Steve Barron",5.3,49647,33000000,21274717,21274717,49,101,40
"27193","tt0106627","La ragazza della porta accanto",1993,"Drama, Thriller",89,"USA","English","Alan Shapiro",5.9,16024,6000000,13609396,13609396,34,88,40
"27202","tt0106664","La metà oscura",1993,"Horror, Mystery, Thriller",122,"USA","English","George A. Romero",6,15594,15000000,10611160,10611160,53,82,96
"27206","tt0106677","La vita è un sogno",1993,"Comedy",102,"USA","English","Richard Linklater",7.6,161506,6900000,7993039,7993039,78,478,171
"27212","tt0106697","Demolition Man",1993,"Action, Sci-Fi, Thriller",115,"USA","English","Marco Brambilla",6.7,155477,57000000,58055768,58055768,34,278,114
"27273","tt0106912","Bagliori nel buio",1993,"Biography, Drama, Fantasy",109,"USA","English","Robert Lieberman",6.6,21050,15000000,19885552,19885552,42,116,30
"27276","tt0106918","Il socio",1993,"Drama, Mystery, Thriller",154,"USA","English","Sydney Pollack",6.8,116699,42000000,158348367,270248367,58,191,64
"27313","tt0107034","L'innocenza del diavolo",1993,"Drama, Thriller",87,"USA","English","Joseph Ruben",6.4,35801,17000000,44789789,60613008,45,170,51
"27378","tt0107206","Nel centro del mirino",1993,"Action, Crime, Drama",128,"USA","English","Wolfgang Petersen",7.2,90512,40000000,102314823,176997168,74,167,68
"27381","tt0107211","Proposta indecente",1993,"Drama, Romance",117,"USA","English","Adrian Lyne",6,61868,38000000,106614059,266614059,35,144,60
"27394","tt0107254","Jason va all'inferno",1993,"Fantasy, Horror, Thriller",87,"USA","English","Adam Marcus",4.2,27410,3000000,15935068,15935068,17,358,141
"27412","tt0107302","Kalifornia",1993,"Crime, Drama, Thriller",117,"USA","English","Dominic Sena",6.7,50171,9000000,2395231,2395231,49,188,62
"27428","tt0107362","Last Action Hero - L'ultimo grande eroe",1993,"Action, Adventure, Comedy",130,"USA","English","John McTiernan",6.4,134068,85000000,50016394,137298489,44,313,117
"27432","tt0107387","Leprechaun",1993,"Comedy, Fantasy, Horror",92,"USA","English","Mark Jones",4.8,22755,900000,8556940,8556940,17,197,92
"27458","tt0107473","Lo sbirro, il boss e la bionda",1993,"Comedy, Crime, Drama",97,"USA","English","John McNaughton",6.2,20162,19000000,11081586,11081586,71,64,23
"27483","tt0107554","Nella giungla di cemento",1993,"Crime, Drama, Thriller",97,"USA","English","Albert Hughes, Allen Hughes",7.5,50507,3500000,27912072,27912072,76,118,33
"27502","tt0107614","Mrs. Doubtfire - Mammo per sempre",1993,"Comedy, Drama, Family",125,"USA","English","Chris Columbus",7,239445,25000000,219195243,441286195,53,286,62
"27530","tt0107688","Nightmare Before Christmas",1993,"Animation, Family, Fantasy",76,"USA","English","Henry Selick",8,285261,18000000,75082668,89140058,82,527,238
"27563","tt0107798","Il rapporto Pelican",1993,"Crime, Drama, Mystery",141,"USA","English","Alan J. Pakula",6.6,75308,45000000,100768056,195268056,50,114,56
"27568","tt0107808","Un mondo perfetto",1993,"Crime, Drama, Thriller",138,"USA","English","Clint Eastwood",7.6,72342,30000000,31130999,135130999,71,150,70
"27571","tt0107818","Philadelphia",1993,"Drama",125,"USA","English","Jonathan Demme",7.7,219688,26000000,77446440,206678440,66,302,85
"27578","tt0107840","Poetic Justice",1993,"Drama, Romance",109,"USA","English","John Singleton",6.1,12437,14000000,27515786,27515786,51,35,16
"27612","tt0107985","La recluta dell'anno",1993,"Comedy, Family, Fantasy",103,"USA","English","Daniel Stern",6.1,24604,10000000,53615089,56500758,53,45,20
"27633","tt0108065","In cerca di Bobby Fischer",1993,"Biography, Drama",109,"USA","English","Steven Zaillian",7.4,28794,12000000,7266383,7266383,89,95,43
"27654","tt0108147","Sister Act 2 - Più svitata che mai",1993,"Comedy, Family, Music",107,"USA","English","Bill Duke",5.6,47959,38000000,57319029,57319029,38,97,20
"27659","tt0108160","Insonnia d'amore",1993,"Comedy, Drama, Romance",105,"USA","English","Nora Ephron",6.8,156290,21000000,126808165,227927165,72,252,86
"27660","tt0108162","Sliver",1993,"Drama, Thriller",107,"USA","English","Phillip Noyce",5.1,28543,40000000,36300000,116300000,38,82,52
"27772","tt0108550","Buon compleanno Mr. Grape",1993,"Drama",118,"USA","English","Lasse Hallström",7.8,210322,11000000,10032765,10032765,73,352,90
"27833","tt0109040","Ace Ventura - L'acchiappanimali",1994,"Comedy",86,"USA","English","Tom Shadyac",6.9,272350,15000000,72217396,107217396,37,295,80
"27857","tt0109127","Angels",1994,"Comedy, Family, Fantasy",102,"USA","English","William Dear",6.2,28606,24000000,50236831,50236831,44,64,23
"27881","tt0109254","Beverly Hills Cop III - Un piedipiatti a Beverly Hills III",1994,"Action, Comedy, Crime",104,"USA","English","John Landis",5.6,74684,50000000,42614912,119208989,16,145,48
"27943","tt0109439","Scappo dalla città 2",1994,"Comedy",116,"USA","English","Paul Weiland",5.6,17886,40000000,43622150,43622150,43,50,15
"27948","tt0109445","Clerks - Commessi",1994,"Comedy",92,"USA","English","Kevin Smith",7.7,209206,27000,3151130,3151130,70,649,138
"27949","tt0109446","Il cliente",1994,"Crime, Drama, Mystery",119,"USA","English","Joel Schumacher",6.8,58793,45000000,92115211,117615211,65,112,50
"27955","tt0109456","Il colore della notte",1994,"Mystery, Romance, Thriller",121,"USA","English","Richard Rush",5.2,22379,40000000,19726050,19726050,36,125,63
"27967","tt0109506","Il corvo - The Crow",1994,"Action, Drama, Fantasy",102,"USA","English","Alex Proyas",7.6,163631,23000000,50693129,50693129,71,609,150
"28006","tt0109635","Rivelazioni",1994,"Drama, Thriller",128,"USA","English","Barry Levinson",6.1,45550,55000000,83015089,214015089,58,105,64
"28024","tt0109707","Ed Wood",1994,"Biography, Comedy, Drama",127,"USA","English","Tim Burton",7.8,162933,18000000,5887457,5887457,70,464,155
"28048","tt0109783","A letto con l'amico",1994,"Comedy, Romance",97,"USA","English","Donald Petrie",5.2,2555,13000000,3134381,3134381,51,19,13
"28063","tt0109813","I Flintstones",1994,"Comedy, Family, Fantasy",91,"USA","English","Brian Levant",4.9,74414,46000000,130531208,341631208,38,114,48
"28067","tt0109830","Forrest Gump",1994,"Drama, Romance",142,"USA","English","Robert Zemeckis",8.8,1755490,55000000,330455270,678229452,82,2416,169
"28098","tt0109951","Cara, insopportabile Tess",1994,"Comedy, Drama",96,"USA","English","Hugh Wilson",6.2,15356,20000000,27058304,27058304,46,53,26
"28175","tt0110213","Mowgli - Il libro della giungla",1994,"Adventure, Family, Romance",111,"USA","English","Stephen Sommers",6,16093,27000000,43229904,43229904,63,47,23
"28177","tt0110216","Junior",1994,"Comedy, Romance, Sci-Fi",109,"USA","English","Ivan Reitman",4.6,63996,60000000,36763355,108431355,59,90,43
"28223","tt0110366","Piccole canaglie",1994,"Comedy, Family, Romance",82,"USA","English","Penelope Spheeris",6.3,42135,23000000,52125282,67308282,45,62,14
"28229","tt0110391","Love Affair - Un grande amore",1994,"Comedy, Drama, Romance",108,"USA","English","Glenn Gordon Caron",6,4349,60000000,18272894,18272894,55,46,14
"28253","tt0110478","Maverick",1994,"Action, Adventure, Comedy",127,"USA","English","Richard Donner",7,99869,75000000,101631272,183031272,62,126,49
"28273","tt0110538","Agenzia salvagente",1994,"Comedy, Drama",97,"USA","English","Nora Ephron",5.5,10177,15000000,6821850,6821850,14,123,26
"28289","tt0110620","Nadja",1994,"Drama, Horror",93,"USA","English","Michael Almereyda",6.1,2898,1000000,443169,443169,64,46,33
"28290","tt0110622","Una pallottola spuntata 33 1/3 - L'insulto finale",1994,"Comedy, Crime",83,"USA","English","Peter Segal",6.5,95312,30000000,51132598,51132598,63,105,57
"28295","tt0110638","Nell",1994,"Drama",112,"USA","English","Michael Apted",6.5,26863,31000000,33683817,106683817,60,93,33
"28301","tt0110657","Karate Kid 4",1994,"Action, Drama, Family",107,"USA","English","Christopher Cain",4.4,24929,12000000,8914777,15876353,36,96,33
"28312","tt0110684","La vita a modo mio",1994,"Comedy, Drama",110,"USA","English","Robert Benton",7.4,18119,20000000,39491975,39491975,86,105,53
"28329","tt0110759","PCU",1994,"Comedy",79,"USA","English","Hart Bochner",6.6,11855,8000000,4330020,4330020,42,62,16
"28335","tt0110771","Cronisti d'assalto",1994,"Comedy, Drama",112,"USA","English","Ron Howard",6.7,12708,6000000,38824341,48424341,70,76,36
"28361","tt0110857","Scuola di polizia: Missione a Mosca",1994,"Comedy, Crime",83,"USA","English","Alan Metter",3.6,31329,6200000,126247,126247,11,116,26
"28388","tt0110932","Quiz Show",1994,"Biography, Drama, History",133,"USA","English","Robert Redford",7.5,63643,31000000,24822619,24822619,92,177,61
"28395","tt0110950","Giovani, carini e disoccupati",1994,"Comedy, Drama, Romance",99,"USA","English","Ben Stiller",6.6,45122,11500000,20982557,33351557,67,161,55
"28405","tt0110971","Mezzo professore tra i marines",1994,"Comedy, Drama",128,"USA","English","Penny Marshall",6.2,16458,40000000,24332324,24332324,44,66,14
"28408","tt0110978","Non aprite quella porta IV",1995,"Comedy, Horror, Thriller",87,"USA","English","Kim Henkel",3.3,19522,600000,185898,185898,50,287,70
"28445","tt0111127","La signora ammazzatutti",1994,"Comedy, Crime, Thriller",95,"USA","English","John Waters",6.8,26389,13000000,7820688,7820688,64,122,67
"28454","tt0111161","Le ali della libertà",1994,"Drama",142,"USA","English","Frank Darabont",9.3,2278845,25000000,28699976,28815245,80,8232,164
"28489","tt0111252","Spanking the Monkey",1994,"Comedy, Drama",100,"USA","English","David O. Russell",6.2,5884,200000,1359736,1359736,66,70,34
"28493","tt0111257","Speed",1994,"Action, Adventure, Thriller",116,"USA","English","Jan de Bont",7.2,322275,30000000,121248145,350448145,78,445,131
"28509","tt0111323","Sopravvivere al gioco",1994,"Action, Adventure, Crime",96,"USA","English","Ernest R. Dickerson",6.2,10386,7400000,7727256,7727256,41,67,40
"28596","tt0111686","Nightmare - Nuovo incubo",1994,"Fantasy, Horror, Mystery",112,"USA","English","Wes Craven",6.4,49852,8000000,18090181,19721741,64,301,100
"28648","tt0112281","Ace Ventura - Missione Africa",1995,"Adventure, Comedy, Crime",90,"USA","English","Steve Oedekerk",6.4,199031,30000000,108385533,212385533,45,198,68
"28678","tt0112384","Apollo 13",1995,"Adventure, Drama, History",140,"USA","English","Ron Howard",7.6,262254,52000000,173837933,355237933,77,389,160
"28696","tt0112442","Bad Boys",1995,"Action, Comedy, Crime",119,"USA","English","Michael Bay",6.9,235440,19000000,65807024,141407024,41,284,90
"28706","tt0112461","Ritorno dal nulla",1995,"Biography, Crime, Drama",102,"USA","English","Scott Kalvert",7.3,99916,2000000,2381087,2381087,46,184,41
"28730","tt0112541","Blue in the Face",1995,"Comedy",83,"USA","English","Paul Auster, Wayne Wang",6.7,8915,2000000,1268636,1268636,54,45,33
"28742","tt0112572","La famiglia Brady",1995,"Comedy",90,"USA","English","Betty Thomas",6,20300,12000000,46576136,46576136,54,109,33
"28746","tt0112579","I ponti di Madison County",1995,"Drama, Romance",135,"USA","English","Clint Eastwood",7.6,71194,24000000,71516617,182016617,66,251,78
"28771","tt0112642","Casper",1995,"Comedy, Family, Fantasy",100,"USA","English","Brad Silberling",6.1,117023,50000000,100328194,287928194,49,122,40
"28786","tt0112688","Clockers",1995,"Crime, Drama, Mystery",128,"USA","English","Spike Lee",6.9,20336,25000000,13071518,13071518,71,88,56
"28798","tt0112722","Copycat - Omicidi in serie",1995,"Drama, Mystery, Thriller",123,"USA","English","Jon Amiel",6.6,52901,20000000,32051917,32051917,54,168,66
"28804","tt0112740","Allarme rosso",1995,"Action, Drama, Thriller",116,"USA","English","Tony Scott",7.3,99265,53000000,91387195,157387195,66,217,84
"28805","tt0112744","Tre giorni per la verità",1995,"Drama, Thriller",111,"USA","English","Sean Penn",6.3,12549,9000000,868979,868979,46,71,46
"28824","tt0112792","Pensieri pericolosi",1995,"Biography, Drama",99,"USA","English","John N. Smith",6.5,47606,23000000,84919401,179519401,47,99,43
"28843","tt0112857","Il diavolo in blu",1995,"Crime, Drama, Mystery",102,"USA","English","Carl Franklin",6.7,17110,27000000,16140822,16140822,78,64,63
"28889","tt0113026","The Fantasticks",2000,"Musical, Romance",86,"USA","English","Michael Ritchie",5.6,1097,10000000,49666,49666,48,70,24
"28895","tt0113041","Il padre della sposa 2",1995,"Comedy, Family, Romance",106,"USA","English","Charles Shyer",6.1,33587,30000000,76594107,76594107,49,70,38
"28928","tt0113118","Ci vediamo venerdì",1995,"Comedy, Drama",91,"USA","English","F. Gary Gray",7.3,97704,3500000,27467564,28215918,54,187,27
"28942","tt0113161","Get Shorty",1995,"Comedy, Crime, Thriller",105,"USA","English","Barry Sonnenfeld",6.9,74583,30250000,72101622,115101622,82,161,106
"28969","tt0113253","Halloween 6 - La maledizione di Michael Myers",1995,"Horror, Thriller",87,"USA","English","Joe Chappelle",4.9,30228,5000000,15116634,15116634,10,386,143
"28987","tt0113321","A casa per le vacanze",1995,"Comedy, Drama, Romance",103,"USA","English","Jodie Foster",6.6,11544,20000000,17519169,17519169,56,99,52
"29008","tt0113409","Il seme della follia",1995,"Drama, Horror, Mystery",95,"USA","English","John Carpenter",7.2,59563,8000000,8924549,8924549,53,278,168
"29011","tt0113419","La chiave magica",1995,"Drama, Family, Fantasy",96,"USA","English","Frank Oz",6,25592,45000000,35656131,35656131,58,54,27
"29046","tt0113540","Kids",1995,"Drama",91,"USA","English","Larry Clark",7.1,71729,1500000,7412216,7412216,63,425,77
"29086","tt0113677","Si gira a Manhattan",1995,"Comedy, Drama",90,"USA","English","Tom DiCillo",7.5,16075,500000,1111790,1111790,81,78,46
"29101","tt0113749","Generazione X",1995,"Comedy, Romance",94,"USA","English","Kevin Smith",7.1,114513,6000000,2122561,2122561,41,445,98
"29130","tt0113855","Mortal Kombat",1995,"Action, Adventure, Fantasy",101,"USA","English","Paul W.S. Anderson",5.8,99852,18000000,70454098,122195920,58,336,92
"29209","tt0114095","Party Girl",1995,"Comedy",94,"USA","English","Daisy von Scherler Mayer",6.6,4441,150000,472370,472370,55,37,29
"29237","tt0114194","L'ultima profezia",1995,"Action, Crime, Drama",98,"USA","English","Gregory Widen",6.5,28511,8000000,16115878,16115878,44,201,64
"29288","tt0114369","Seven",1995,"Crime, Drama, Mystery",127,"USA","English","David Fincher",8.6,1402015,33000000,100125643,327333559,65,1490,229
"29324","tt0114508","Specie mortale",1995,"Action, Horror, Sci-Fi",108,"USA","English","Roger Donaldson",5.8,72859,35000000,60074103,113374103,49,161,125
"29333","tt0114558","Strange Days",1995,"Action, Crime, Drama",145,"USA","English","Kathryn Bigelow",7.2,66011,42000000,7959291,7959291,66,255,107
"29343","tt0114594","Il prezzo di Hollywood",1994,"Comedy, Crime",93,"USA","English","George Huang",7.1,21592,700000,382928,382928,66,156,40
"29344","tt0114608","Il cavaliere del male",1995,"Action, Fantasy, Horror",92,"USA","English","Ernest R. Dickerson",6.7,20849,13000000,21089146,21089146,48,122,78
"29357","tt0114660","Cosa fare a Denver quando sei morto",1995,"Crime, Drama, Thriller",115,"USA","English","Gary Fleder",6.8,25731,7000000,529766,529766,46,153,45
"29372","tt0114709","Toy Story - Il mondo dei giocattoli",1995,"Animation, Adventure, Comedy",81,"USA","English","John Lasseter",8.3,864461,30000000,222498679,404265438,95,617,160
"29387","tt0114781","Trappola sulle Montagne Rocciose",1995,"Action, Thriller",100,"USA","English","Geoff Murphy",5.5,43097,60000000,50024083,104324083,52,140,63
"29391","tt0114788","Underneath",1995,"Crime, Thriller",99,"USA","English","Steven Soderbergh",6.1,3109,6500000,536023,536023,69,36,31
"29399","tt0114825","Vampiro a Brooklyn",1995,"Comedy, Fantasy, Horror",100,"USA","English","Wes Craven",4.6,21153,20000000,19751736,19751736,27,68,40
"29404","tt0114852","Villaggio dei dannati",1995,"Horror, Sci-Fi, Thriller",98,"USA","English","John Carpenter",5.7,28156,22000000,9418365,9418365,41,130,96
"29405","tt0114857","Virtuality",1995,"Action, Crime, Sci-Fi",106,"USA","English","Brett Leonard",5.6,27474,30000000,24047675,24047675,39,93,56
"29415","tt0114898","Waterworld",1995,"Action, Adventure, Sci-Fi",135,"USA","English","Kevin Reynolds",6.2,177164,175000000,88246220,264218220,56,383,129
"29416","tt0114906","Fuga dalla scuola media",1995,"Comedy, Drama",88,"USA","English","Todd Solondz",7.4,31333,800000,4569019,4569019,83,180,79
"29420","tt0114924","Un amore tutto suo",1995,"Comedy, Drama, Romance",103,"USA","English","Jon Turteltaub",6.7,89629,17000000,81057016,182057016,67,218,71
